Client,Numero,Matricule,present
3FPT,109954,AD293970,non
AEGF,134621,AA020BM,non
ANAM,116088,AD0215.,non
ANAM,116098,AD0213,non
ANAM,121360,AD5711,non
ANAM,121361,AD5768,non
ANAM,121362,AD5759,non
ANAM,121363,AD6023,non
ANAM,121364,AD5753,non
ANAM,121365,AD5752,non
ANAM,121366,AD7863TTD1.,non
ANAM,121367,AD7861TTD1.,non
ANAM,121368,AD7860TTD1,non
ANAM,121369,AD6970TTD1,non
ANAM,121370,AD6969TTD1,non
ASPT,116301,AD6791,non
CDF,109929,AD29402,non
CDF,116285,AA150JD,non
CDF,116286,AA750RK,non
CDF,116287,AD6768,non
CDF,116288,2900EX,non
CDF,116300,AD29986,non
CDF,116302,AD6396,non
CMS,109930,AA009HC,non
CMS,116308,AA014HC,non
CSE,121389,AA671QH,non
CSE,121390,AA529KW,non
CSE,121391,AA687QH,non
CSE,121392,4620TTA1,non
CSE,121393,4613TTA1,non
CSE,121394,4622TTA1,non
CSE,121395,4617TTA1,non
CSE,121396,4621TTA1,non
CSE,121397,4610TTA1,non
CSE,121398,4634TTA1,non
CSE,121399,4615TTA1,non
CSE,121400,4623TTA1,non
CSE,121401,4619TTA1,non
CSE,121402,4611TTA1,non
CSE,121403,4616TTA1,non
CSE,121404,4618TTA1,non
CSE,121405,4612TTA1,non
CSE,121406,4614TTA1,non
CSE,121407,3173TTA1,non
CSE,121408,3170TTA1,non
CSE,121409,3172TTA1,non
CSE,121410,3180TTA1,non
CSE,121411,3171TTA1,non
CSE,121412,3183TTA1,non
CSE,121413,3182TTA1,non
CSE,121414,3181TTA1,non
CSE,121415,AA867TB,non
CSE,121416,AA174SX,non
CSE,121417,AA839TB,non
CSE,121418,AA232SX,non
CSE,121419,AA404SY,non
CSE,121420,AA196SX,non
CSE,121471,AA896TB,non
CSE,121472,AA046SX,non
CSE,121473,AA833TB,non
CSE,121474,AA209ZX,non
CSE,121475,AA176SX,non
CSE,121476,AA452TC,non
CSE,121477,AA225SX,non
CSE,121478,AA859TB,non
CSE,121479,AA845TB,non
CSE,121480,AA239SX,non
CSE,121481,AA214SX,non
CSE,121482,AA849TB,non
CSE,121483,AA247SX,non
CSE,121484,AA850TB,non
CSE,121485,AA243SX,non
CSE,121486,AA221SX,non
CSE,121487,AA844TB,non
CSE,121488,AA202SX,non
CSE,121489,AA191SX,non
CSE,121490,AA192SX,non
CSE,121491,AA235SX,non
CSE,121492,AA422HA,non
CSE,121493,AA858TB,non
CSE,121494,AA092HE,non
CSE,121495,AA826HC,non
CSE,121497,AA150HE,non
CSE,121498,AA785HC,non
CSE,121499,AA403HA,non
CSE,121500,AA822HC,non
CSS,109956,AA152BQ,non
DHF,109927,AB448FV,non
DHF,109940,AB398DE,non
DHF,109941,DK5185BG,non
DHF,109942,DK9511AY,non
DHF,109951,AB170CJ,non
DHF,109952,AB402DE,non
DHF,109953,AB388DE,non
DHF,116074,AB251CT ,non
DHF,116109,AB630AL,non
DHF,126184,AB163CJ,non
DDC,116266,AB797EB,non
DDC,116303,AB380FJ,non
DDC,116311,AA 286 EW,non
DAKAR VISION,126147,DK4823AR,non
DAKAR VISION,126183,AA721SV,non
DER,116087,AA340JW,non
DER,116089,AB633EV,non
DER,116305,AB644EV,non
DER,121352,DK8304BM0,non
DER,121353,DK8306BM0,non
DER,121355,AA340JY,non
DER,121356,AA548JW,non
DER,121357,DK9056BH0,non
DER,121358,DK8305BM0,non
DER,121359,DK8303BM,non
EIFFAGE ENERGIE,109948,AA820GF0,non
EIFFAGE RAIL SENEGAL,103367,8803TTD1,non
EIFFAGE RAIL SENEGAL,103368,8713TTD10,non
EIFFAGE RAIL SENEGAL,103369,8255TTD1,non
EIFFAGE RAIL SENEGAL,104404,AA526JD,non
EIFFAGE RAIL SENEGAL,104495,8697TTD1,non
EIFFAGE RAIL SENEGAL,112666,7742TTD1,non
EESSS,116082,5526TTA1,non
EYDON,116299,AB887FB,non
EYDON,121372,AB280FB,non
FERA,116060,AD6717,non
GECAMINES SA,116052,AB888DT,non
GECAMINES SA,116053,AA898DT,non
